날짜,FINAL_TOC,FLOW,TEMP,AERB_DO,AERB_RET,AERB_WIT,AERB_MLSS,EQ_TOC,EQ_pH,EQ_SS,DAF_TOC,DAF_pH,DAF_SS,AERA_TOC,AERA_pH,AERA_DO,AERA_MLSS,AERB_TOC,AERB_pH,CLAA_TOC,CLAA_pH,CLAA_SS,CLAB_TOC,CLAB_pH,CLAB_SS,FINAL_pH,FINAL_SS,AERA_WIT,AERA_RET,AERA_SV,AERB_SV,AERA_SRT,AERB_SRT,AERA_FM,AERB_FM,AERA_SVI,AERB_SVI,AERA_RET_CON,AERB_RET_CON
2047-12-04 01:00:00,3.5,400.15,31.0,2.53 ,159.98 ,4.0,1719.58,159.46,11.68,37.13,132.38,8.82,24.21,12.41,7.45,2.40 ,1963.33,14.23,7.35,12.59,7.65,14.02,15.23,7.48,10.38,7.94,12.83 ,5.0,159.96 ,40.0,35.0,40.00 ,35.03 ,0.06 ,0.10 ,203.74 ,203.54 ,4908.33 ,4913.10 
2047-12-04 02:00:00,3.47,399.77,31.0,2.42 ,159.96 ,4.0,1710.42,160.0,11.66,37.88,132.79,8.88,24.79,12.5,7.45,2.40 ,1956.67,14.5,7.35,12.5,7.65,14.48,15.5,7.47,10.63,7.94,12.87 ,5.0,160.00 ,40.0,35.0,40.00 ,34.97 ,0.07 ,0.10 ,204.43 ,204.63 ,4891.67 ,4886.90 
2047-12-04 03:00:00,3.42,400.02,31.0,2.40 ,160.00 ,4.0,1701.25,160.55,11.65,38.63,133.21,8.94,25.38,12.59,7.44,2.40 ,1950.0,14.77,7.36,12.41,7.64,14.94,15.77,7.46,10.88,7.94,12.66 ,5.0,160.01 ,40.0,35.0,40.00 ,34.90 ,0.07 ,0.10 ,205.13 ,205.73 ,4875.00 ,4860.71 
2047-12-04 04:00:00,3.39,400.3,31.0,2.44 ,160.01 ,4.0,1692.08,161.09,11.64,39.38,133.63,8.99,25.96,12.68,7.43,2.40 ,1943.33,15.04,7.37,12.32,7.63,15.4,16.05,7.44,11.13,7.94,12.69 ,5.0,160.00 ,40.0,35.0,40.00 ,34.83 ,0.07 ,0.10 ,205.83 ,206.85 ,4858.33 ,4834.52 
2047-12-04 05:00:00,3.32,399.96,31.0,2.41 ,160.01 ,4.0,1682.92,161.64,11.63,40.13,134.04,9.05,26.54,12.77,7.42,2.40 ,1936.67,15.32,7.38,12.23,7.62,15.85,16.32,7.43,11.38,7.94,12.58 ,5.0,160.00 ,40.0,35.0,40.00 ,34.76 ,0.07 ,0.10 ,206.54 ,207.97 ,4841.67 ,4808.33 
2047-12-04 06:00:00,3.31,399.81,31.0,2.40 ,160.00 ,4.0,1673.75,162.18,11.62,40.88,134.46,9.11,27.13,12.86,7.41,2.40 ,1930.0,15.59,7.39,12.14,7.61,16.31,16.59,7.42,11.63,7.94,12.56 ,5.0,160.01 ,40.0,35.0,40.00 ,34.69 ,0.07 ,0.10 ,207.25 ,209.11 ,4825.00 ,4782.14 
2047-12-04 07:00:00,3.3,400.05,31.0,2.47 ,160.01 ,4.0,1664.58,162.73,11.61,41.63,134.88,9.17,27.71,12.95,7.4,2.40 ,1923.33,15.86,7.4,12.05,7.6,16.77,16.86,7.41,11.88,7.96,12.28 ,5.0,159.98 ,40.0,35.0,40.00 ,34.62 ,0.07 ,0.10 ,207.97 ,210.26 ,4808.33 ,4755.95 
2047-12-04 08:00:00,3.18,399.86,31.0,2.48 ,160.01 ,4.0,1661.67,162.29,11.61,42.67,135.29,9.19,28.08,13.02,7.4,2.40 ,1920.0,15.98,7.4,11.98,7.6,17.38,16.96,7.4,12.1,7.96,12.31 ,5.0,160.03 ,40.0,35.0,40.00 ,34.62 ,0.07 ,0.10 ,208.33 ,210.63 ,4800.00 ,4747.62 
2047-12-04 09:00:00,3.14,399.92,31.0,2.37 ,159.97 ,4.0,1665.0,160.86,11.64,44.0,135.71,9.16,28.25,13.06,7.4,2.40 ,1920.0,15.94,7.4,11.94,7.6,18.13,16.88,7.41,12.31,7.6,12.26 ,5.0,159.98 ,40.0,35.0,40.00 ,34.69 ,0.07 ,0.10 ,208.33 ,210.21 ,4800.00 ,4757.14 
2047-12-04 10:00:00,3.07,400.17,31.0,2.33 ,159.99 ,4.0,1668.33,159.43,11.67,45.33,136.13,9.13,28.42,13.1,7.4,2.40 ,1920.0,15.9,7.4,11.9,7.6,18.88,16.79,7.41,12.52,7.34,12.23 ,5.0,160.01 ,40.0,35.0,40.00 ,34.76 ,0.07 ,0.10 ,208.33 ,209.79 ,4800.00 ,4766.67 
